TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
30	MsgTeleDead		▢FF00FF00离传送到死亡竞技场还剩▢FFFF0000%1s▢FF00FF00秒▥	▢FF00FF00You will be Teleported to dead battle in ▢FFFF0000%1s▢FF00FF00 seconds.▥	▢FF00FF00Você será teleportado para a batalha da morte em ▢FFFF0000%1s▢FF00FF00 segundos.▥	▢FF00FF00Вы будете телепортированы на арену через ▢FFFF0000%1s▢FF00FF00 секунд.▥	▢FF00FF00사망경기장까지 ▢FFFF0000%1s▢FF00FF00만 남았습니다.▥	▢FFFF0000%1s▢FF00FF00 Sekunden sind bis zum Tod der Arena übrig geblieben▥	▢FF0000FF%1s▢FF00FF00 secondes restantes avant l'envoi à l'arène de la mort	▢FF00FF00Quedan ▢FFFF0000%1s▢FF00FF00 segundos antes de enviar a la arena de la muerte.	▢FF00FF00Lasciato ▢FFFF0000%1s▢FF00FF00 prima di inviare all'arena della morte	▢FF00FF00Waktu tersisa ▢FFFF0000%1s▢FF00FF00 detik sebelum masuk ke arena kematian	▢FF00FF00You will be Teleported to dead battle in ▢FFFF0000%1s▢FF00FF00 seconds.▥	▢FF00FF00Ölüm arenası gönderilmeden önce ▢FFFF0000%1s▢FF00FF00 kaldı.	▢FF00FF00Còn ▢FFFF0000%1s▢FF00FF00 giây để chuyển đến đấu trường sinh tử	▢FF00FF00You will be Teleported to dead battle in ▢FFFF0000%1s▢FF00FF00 seconds.▥
31	BedWarGameName	起床战争	起床战争	Bed Wars	Bed War	Bed War	Bed War	Bed Wars	Bed Wars	Bed Wars	Bed Wars	Bed Wars	Bed Wars	Bed Wars	Bed Wars	Bed War
32	BedWarBreakBed		%1s▢FFFFFFFF队的床已经被破坏，破坏者是%2s。▥	▢FFFFFFFFThe bed of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFa Cama do time %1s ▢FFFFFFFFFoi destruída pelo time %2s.▥	▢FFFFFFFFКровать команды %1s  ▢FFFFFFFFбыла уничтожена командой %2s.▥	%1s▢FFFFD700팀의 침대는 이미 파괴되었습니다. 파괴자는 %2s였습니다.▥	%1s▢FFFFFFFF Bett wurde zerstört, Zerstörer ist% 2s.	▢FF0000FFLe lit de l'équipe ▢FFFF0000%1s▢FF00FF00 a été détruit, le destructeur est ▢FFFF0000%2s.	La cama del equipo %1s▢FFFFFFFF ha sido destruida, el destructor es %2s.	▢FFFF0000Il letto della squadra ▢FFFF0000%1s▢FF00FF00 è stato distrutto, il cacciatorpediniere è ▢FFFF0000%2s.	Tempat tidu Grup %1s▢FFFFFFFF sudah dihancurkan, perusak adalah %2s	▢FFFFFFFFThe bed of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	%1s▢FFFFFFFF takımın yeri yok edildi, yok eden %2s.	Giường của đội %1s▢FFFFFFFF đã bị hư hại, người phá hoại là %2s.	▢FFFFFFFFThe bed of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥
33	BedWarUpgrade		升级成功	Upgarde Successful!	Melhorado Com Sucesso!!	Успешно обновлено! 	업그레이드 성공	Die Eskalation ist fertig 	La mise à jour a réussi	Actualización exitosa	Aggiornamento riuscito	Berhasil upgrade	Upgarde Successful!	Güncelleme başarılı oldu	Nâng cấp thành công	Upgarde Successful!
34	SpleefGameName	掘一死战	掘一死战	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef	Bow Spleef
35	SpleefGameData		▢FF00FFFF玩家数: %1s ▢FF00FF00时间: %2s ▢FFFFFF00分数: %3s▥	▢FF00FFFFPlayers: %1s ▢FF00FF00Time: %2s ▢FFFFFF00Score: %3s▥	▢FF00FFFFJogadores: %1s ▢FF00FF00Tempo: %2s ▢FFFFD700Ouro: %3s ▢FFFFFF00Pontos: %4s▥	▢FF00FFFFИгроки: %1s ▢FF00FF00Время: %2s ▢FFFFD700Золото: %3s ▢FFFFFF00Счёт: %4s▥	▢FF00FFFF게이머 수: %1s▢FF00FF00 시간: %2s ▢FFFFD700금화: %3s ▢FFFFFF00점수: %4s▥	▢FF00FFFFSpieler:%1s ▢FF00FF00 Zeit:%2s ▢FFFFFF00Punkte: %3s▥	▢FF00FFFFJoueurs: %1s ▢FF00FF00 Temps: %2s ▢FFFFFF00 Score:%3s▥	▢FF00FFFFJugadores: %1s ▢FF00FF00Tiempo: %2s ▢FFFFFF00Puntuación: %3s▥	▢FF00FFFFGiocatori:%1s Tempo:%2s Punteggio:%3s	▢FF00FFFFPemain:%1s ▢FF00FF00Waktu:%2s ▢FFFFFF00Nilai:%3s▥	▢FF00FFFFPlayers: %1s ▢FF00FF00Time: %2s ▢FFFFFF00Score: %3s▥	▢FF00FFFFOyuncu:%1s ▢FF00FF00 Zaman:%2s ▢FFFFFF00 Skor:%3s	▢FF00FFFF Người chơi:%1s ▢FF00FF00 Thời gian: %2s ▢FFFFFF00 Điểm số: %3s	▢FF00FFFFPlayers: %1s ▢FF00FF00Time: %2s ▢FFFFFF00Score: %3s▥
36	ClanWarGameName	部落战争	部落战争	Clan Wars	Clan War	Clan War	Clan War	Clan Wars	Clan Wars	Clan Wars	Clan Wars	Clan Wars	Clan Wars	Clan Wars	Clan Wars	Clan War
37	ClanWarGameStartWelcome		▢FF00FF00欢迎来到战场！请拿你的武器夺取敌方队伍的旗帜，可以获得更多的积分。▥	▢FF00FF00Welcome to Battle Field! Please take up your weapons to pillage the adverse flag and put it at your own placement of flag, and get more points.▥	▢FF00FF00Bem-vindo ao campo de batalha! Pegue suas armas para roubar as bandeiras do time adversário e coloque-as em seu próprio totem de bandeiras para obter mais pontos.▥	▢FF00FF00Добро пожаловать в Clan Wars! Пожалуйста возьмите предметы в сундуках. Доставьте флаг противника на свою базу и установите в соответствующие места для получения большего количества очков! ▥	▢FF00FF00전장에 오신 것을 환영합니다! 당신의 무기를 들고 적의 깃발을 빼앗아, 더 많은 포인트를 얻을 수 있도록 해 주세요.▥	▢FF00FF00Willkommen auf dem Schlachtfeld! Mit der Waffe die Fahnen des gegnerischen Teams zu erobern können Sie mehr Punkte bekommen.▥	▢FF00FF00FFBienvenue sur le champ de bataille! Veuillez prendre vos armes pour capturer le drapeau de l'équipe ennemie, en le faisant vous pouvez obtenir plus de points.	▢FF00FF00Bienvenido al campo de batalla! Por favor, toma tu arma para apoderarse de la bandera del equipo enemigo, puedes obtener más puntos.	▢FF00FF00Benvenuto sul campo di battaglia! Per favore prendi la tua arma per afferrare la bandiera della squadra nemica, puoi ottenere più punti.	▢FF00FF00Selamat datang di medan pertempuran! Silahkan ambil senjata Anda untuk merebut bendera tim musuh, Anda bisa mendapatkan koin yang lebih banyak.	▢FF00FF00Welcome to Battle Field! Please take up your weapons to pillage the adverse flag and put it at your own placement of flag, and get more points.▥	▢FF00FF00Savaş alanına hoş geldiniz! Lütfen düşman takımın bayrağını ele geçirmek için silahlanın, daha fazla puan kazanabilirsiniz.	▢FF00FF00Chào mừng đến với trận chiến! Hãy cầm vũ khí lên để giành cờ của đối phương, bạn sẽ nhận được nhiều điểm.	▢FF00FF00Welcome to Battle Field! Please take up your weapons to pillage the adverse flag and put it at your own placement of flag, and get more points.▥
38	ClanWarGameData	 	▢FF00FF00夺旗数 %1s▢FF00FF00 - %2s ▢FF00FF00杀人数%3s▢FF00FF00 - %4s▢FF00FF00 玩家数 %5s▢FF00FF00 - %6s ▢FF00FF00分数 %7s▢FF00FF00 - %8s	▢FF00FF00Flags %1s▢FF00FF00 - %2s ▢FF00FF00 Kills %3s▢FF00FF00 - %4s▢FF00FF00 Players %5s▢FF00FF00 - %6s ▢FF00FF00 Scores %7s▢FF00FF00 - %8s	▢FF00FF00Bandeiras %1s▢FF00FF00 - %2s ▢FF00FF00 Matou %3s▢FF00FF00 - %4s▢FF00FF00 Jogadores %5s▢FF00FF00 - %6s ▢FF00FF00 Pontos %7s▢FF00FF00 - %8s	▢FF00FF00Флаги: %1s▢FF00FF00 - %2s ▢FF00FF00 Убийства: %3s▢FF00FF00 - %4s▢FF00FF00 Игроки: %5s▢FF00FF00 - %6s ▢FF00FF00 Счёт: %7s▢FF00FF00 - %8s	▢FF00FF00Flags %1s▢FF00FF00 - %2s ▢FF00FF00 Kills %3s▢FF00FF00 - %4s▢FF00FF00 Players %5s▢FF00FF00 - %6s ▢FF00FF00 Scores %7s▢FF00FF00 - %8s	▢FF00FF00 Flag %1s▢FF00FF00 - %2s ▢FF00FF00Kills%3s▢FF00FF00 - %4s▢FF00FF00 Spieler %5s▢FF00FF00 - %6s ▢FF00FF00Punktzahl %7s▢FF00FF00 - %8s	▢FF00FF00Drapeau: %1s▢FF00FF00 - %2s ▢FF00FF00Tueurs%3s▢FF00FF00 - %4s▢FF00FF00 Joueurs %5s▢FF00FF00 - %6s ▢FF00FF00Score %7s▢FF00FF00 - %8s	▢FF00FF00Banderas %1s▢FF00FF00 - %2s Muertos %3s▢FF00FF00 - %4s▢FF00FF00 Jugadores %5s▢FF00FF00 - %6s ▢FF00FF00 Puntuación %7s▢FF00FF00 - %8s	▢FF00FF00 Bandiera %1s▢FF00FF00 - %2s ▢FF00FF00 Morti%3s▢FF00FF00 - %4s▢FF00FF00 Giocatori %5s▢FF00FF00 - %6s ▢FF00FF00Punteggi %7s▢FF00FF00 - %8s	▢FF00FF00Bendera %1s▢FF00FF00 - %2s ▢FF00FF00Kills%3s▢FF00FF00 - %4s▢FF00FF00 Pemain %5s▢FF00FF00 - %6s ▢FF00FF00Nilai %7s▢FF00FF00 - %8s	▢FF00FF00Flags %1s▢FF00FF00 - %2s ▢FF00FF00 Kills %3s▢FF00FF00 - %4s▢FF00FF00 Players %5s▢FF00FF00 - %6s ▢FF00FF00 Scores %7s▢FF00FF00 - %8s	▢FF00FF00Bayrak %1s▢FF00FF00 - %2s ▢FF00FF00 Öldürme %3s▢FF00FF00 - %4s▢FF00FF00 Oyuncu %5s▢FF00FF00 - %6s ▢FF00FF00 Skor %7s▢FF00FF00 - %8s	▢FF00FF00Người chơi %1s▢FF00FF00 - %2s ▢FF00FF00Giết %3s▢FF00FF00 - %4s▢FF00FF00 Người chơi %5s▢FF00FF00 - %6s ▢FF00FF00Điểm %7s▢FF00FF00 - %8s	▢FF00FF00Flags %1s▢FF00FF00 - %2s ▢FF00FF00 Kills %3s▢FF00FF00 - %4s▢FF00FF00 Players %5s▢FF00FF00 - %6s ▢FF00FF00 Scores %7s▢FF00FF00 - %8s
39	ClanWarMoveFlagArea		▢FF00FF00您不能进入自己的旗帜位置。▥	▢FF00FF00You are not allowed to enter the own placement of flag.▥	▢FF00FF00O que você esta fazendo▢ Você Não Pode Roubar a Própria Bandeira!.▥	▢FF00FF00Вы не можете войти в здание флага своей команды.▥	▢FF00FF00자신의 깃발 위치에 들어가지 못합니다.▥	▢FF00FF00Sie können eigene Fahnesposition nicht eingehen.▥	▢FF00FF00Vous ne pouvez pas accéder à l'emplacement de votre propre bannière. ▥	▢FF00FF00No puedes entrar su propia posición de bandera.	▢FF00FF00Non è possibile entrare nella propria posizione bandiera.	▢FF00FF00Anda tidak bisa masuk ke posisi banner anda sendri.	▢FF00FF00You are not allowed to enter the own placement of flag.▥	▢FF00FF00Kendi bayrak konumunuza giriş yapamazsınız.	▢FF00FF00Bạn không thể vào vị trí cờ của mình.	▢FF00FF00You are not allowed to enter the own placement of flag.▥
40	ClanWarMoveOtherBornArea		▢FF00FF00你不能进入对方的出生位置。▥	▢FF00FF00You are not allowed to enter the other's placement of born.▥	▢FF00FF00Ei, Você Não Pode Invadir o local de nascimento do outro time!.▥	▢FF00FF00Вы не можете войти на базу противника.▥	▢FF00FF00상대방의 출생 위치에 들어갈 수 없습니다.▥	▢FF00FF00Sie können nicht den Geburtsort des anderen betreten.▥	▢FF00FF00Vous ne pouvez pas accéder au lieu de naissance de votre adversaire.▥	▢FF00FF00No puedes entrar en el lugar de nacimiento del otro.	▢FF00FF00Non è possibile entrare nella casa natale della controparte.	▢FF00FF00Anda tidak bisa masuk ke tempat lahir pihak lawan.	▢FF00FF00You are not allowed to enter the other's placement of born.▥	▢FF00FF00Birbirinizin doğum yerine giriş yapamazsınız.	▢FF00FF00Bạn không thể vào nơi sinh của đối phương.	▢FF00FF00You are not allowed to enter the other's placement of born.▥
41	ClanWarMoveGameNotStart		▢FF00FF00游戏还没有开始，请在出生点的范围内行动 。▥	▢FF00FF00The game hasn't started yet, please act just in the scope of birth point.▥	▢FF00FF00O Jogo ainda Não começou, Por favor espere começar para poder sair.▥	▢FF00FF00Игра ещё не началась! Вы можете передвигаться только по своей базе.▥	▢FF00FF00게임 아직 시작하지 않았습니다. 출생 지점의 범위안에 활동해주세요.▥	▢FF00FF00Das Spiel hat noch nicht begonnen, bitte handeln Sie innerhalb des Geburtsortes.▥	▢FF00FF00Le jeu n'a pas encore débuté, veuillez vous mouvoir dans l'espace réservé à votre point de naissance.▥	▢FF00FF00El juego aún no ha comenzado, por favor actúa dentro del rango de punto de nacimiento.	▢FF00FF00Il gioco non è ancora iniziato, per favore agisci entro il raggio del punto di nascita.	▢FF00FF00Permainan belum dimulai, silahkan beraktifitas dalam kisaran titik lahir.	▢FF00FF00The game hasn't started yet, please act just in the scope of birth point.▥	▢FF00FF00Oyun henüz başlamadı, lütfen doğum nokta aralığı içinde hareket edin.	▢FF00FF00Trò chơi vẫn chưa bắt đầu, vui lòng hoạt động trong phạm vi điểm sinh. 	▢FF00FF00The game hasn't started yet, please act just in the scope of birth point.▥
42	ClanWarGetFlagHint		▢FF00FF00旗帜放置于此▥	▢FF00FF00Put your flags here.▥	▢FF00FF00Você botou a bandeira aqui.▥	▢FF00FF00Поставьте флаг здесь.▥	▢FF00FF00여기에 깃발을 놓아두세요.▥	▢FF00FF00Fahne hier▥	▢FF00FF00La bannière se trouve ici▥	Bandera aquí	▢FF00FF00Posiziona bandiera qui	▢FF00FF00Tempatkan bendera disini	▢FF00FF00Put your flags here.▥	▢FF00FF00Bayrağı buraya koyun	▢FF00FF00Cờ cắm ở đây	▢FF00FF00Put your flags here.▥
43	HungerGameName	饥饿游戏	饥饿游戏	Survival Games	Hungry Game	Hungry Game	Survival Game	Survival Games	Survival Game	Survival Games	Survival Games	Survival Games	Survival Games	Survival Games	Survival Games	Hungry Game
44	MurderMysteryGameName	神秘杀手	神秘杀手	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery	Murder Mystery
45	MurderMysteryBecomeRole		你成为了%1s	You become ▢FF00FF00%1s	Você é ▢FF00FF00%1s	Вы ▢FF00FF00%1s	당신은 %1s가 되었습니다.	Sie werden %1s	Vous êtes devenu ▢FFFF0000%1s	Te conviertes en %1s	Diventi %1s	Anda menjadi %1s	You become ▢FF00FF00%1s	%1s oldun	Bạn là %1s	You become ▢FF00FF00%1s
46	MurderMysteryCivilian		平民	civilian	Civil	Гражданин	평민	Dorfbewohner	Civil	Civiles	Civile	Warga sipil	civilian	Sivil	Dân thường	civilian
47	MurderMysteryMurderer		杀手	murderer	Assassino	Убийца	킬러	Mörder	Tueur 	Asesino	Killer	Pembunuh	murderer	Katil	Sát thủ	murderer
48	MurderMysterySheriff		警察	sheriff	Xerife	Шериф	경찰	Polizei	Policier	Policía	Polizia	Polisi	sheriff	Polis	Cảnh sát	sheriff
49	MurderMysteryAssignRoleTimeHint		▢FF00FF00距离角色分配还剩▢FFFF0000%1s秒▢FF00FF00。▥	▢FF00FF00The role will be assined in ▢FFFF0000%1s seconds▢FF00FF00.▥	▢FF00FF00Sua conduta será atribuída em ▢FFFF0000%1s Segundos▢FF00FF00.▥	▢FF00FF00Роль будет выдана через ▢FFFF0000%1s секунд▢FF00FF00.▥	▢FF00FF00배역 분배 완료까지 ▢FFFF0000%1s초만 남았습니다▢FF00FF00.▥	▢FF00FF00Noch ▢FFFF0000%1s▢FF00FF00 Sekunde beginnen Rollen Spielen ▥	▢FF0000FF%1s▢FF00FF00 secondes restantes avant l'affectation des rôles.	▢FF00FF00Queda ▢FFFF0000%1s▢FF00FF00 segundos de la asignación de caracteres.	▢FF00FF00%1s ▢FFFF0000rimanente dall'assegnazione dei caratteri.	▢FF00FF00Perubahan karakter masih ada ▢FFFF0000%1s▢FF00FF00 detik	▢FF00FF00The role will be assined in ▢FFFF0000%1s seconds▢FF00FF00.▥	▢FF00FF00%1s saniye karakter atamasından kalan.	▢FF00FF00Còn ▢FFFF0000%1s▢FF00FF00 giây để vào phân chia nhân vật.	▢FF00FF00The role will be assined in ▢FFFF0000%1s seconds▢FF00FF00.▥
50	MurderMysterySheriffKilled		▢FF00FF00警察被杀死了。▥	▢FF00FF00The sheriff has been killed.▥	▢FF00FF00O Xerife foi morto!.▥	▢FF00FF00Шериф убит.▥	▢FF00FF00경찰이 살해당했습니다.▥	▢FF00FF00Die Polizei wurde getötet.▥	▢FF00FF00Le policier a été tué.	▢FF00FF00La policía fue asesinada.	▢FF00FF00La polizia è stata uccisa.	▢FF00FF00Polisi mati terbunuh.	▢FF00FF00The sheriff has been killed.▥	▢FF00FF00Polis öldürüldü.	▢FF00FF00Cảnh sát đã bị giết.	▢FF00FF00The sheriff has been killed.▥
51	MurderMysteryMurdererKilled		▢FF00FF00一个杀手被杀死了。▥	▢FF00FF00The murderer has been killed.▥	▢FF00FF00O Assassino Foi Morto!.▥	▢FF00FF00Убийца убит.▥	▢FF00FF00한 킬러가 죽였습니다.▥	▢FF00FF00Ein Mörder wurde getötet.▥	▢FF00FF00Un tueur a été tué.	▢FF00FF00Un asesino fue asesinado.	▢FF00FF00Un killer è stato ucciso.	▢FF00FF00Seorang pembunuh mati terbunuh.	▢FF00FF00The murderer has been killed.▥	▢FF00FF00Bir katil öldürüldü.	▢FF00FF00Một tên sát thủ đã bị giết.	▢FF00FF00The murderer has been killed.▥
52	MurderMysteryCivilianKilled		▢FF00FF00一个平民被杀了，还剩下▢FFFF0000%1s▢FF00FF00个平民▥	▢FF00FF00A civilian has been killed,  ▢FFFF0000%1s ▢FF00FF00left.▥	▢FF00FF00Um Civil foi morto, ▢FFFF0000%1s ▢FF00FF00Restam.▥	▢FF00FF00Гражданин убит  ▢FFFF0000%1s ▢FF00FF00осталось.▥	▢FF00FF00한 평민은 살해되었습니다. 평민 ▢FFFF0000%1s▢FF00FF00명만 살아남아 있습니다.▥	▢FF00FF00Ein Dorfbewohner wurde getötet und noch ▢FFFF0000%1s▢FF00FF00 Dorfbewohner ▥	▢FF00FF00Un civil a été tué, il reste ▢FFFF0000%1s▢FF00FF00 civils.	▢FF00FF00Un civil fue asesinado, dejando ▢FFFF0000%1s秒▢FF00FF00 más de civiles	▢FF00FF00Un civile è stato ucciso, lasciando l' %1s in più di civili	▢FF00FF00Seorang warga sipil terbunuh, masih tersisa ▢FFFF0000%1s▢FF00FF00 warga sipil	▢FF00FF00A civilian has been killed,  ▢FFFF0000%1s ▢FF00FF00left.▥	▢FF00FF00Sivil öldürüldü, ▢FFFF0000%1s▢FF00FF00 daha fazla sivil ayrılıyor.	▢FF00FF00Một dân thường đã bị giết, vẫn còn ▢FFFF0000%1s▢FF00FF00 người	▢FF00FF00A civilian has been killed,  ▢FFFF0000%1s ▢FF00FF00left.▥
53	MurderMysteryZeroOfCivilian		▢FF00FF00所有平民都被杀死了。▥	▢FF00FF00All civilians have been killed.▥	▢FF00FF00All Todos os Civis foram assassinados.▥	▢FF00FF00Граждане убиты.▥	▢FF00FF00모든 평민은 죽였습니다.▥	▢FF00FF00Alle Dorfbewohnern wurden getötet▥	▢FF00FF00Tous les civils ont été tués.	▢FF00FF00Todos los civiles han sido asesinados.	▢FF00FF00Tutti i civili sono stati uccisi.	▢FF00FF00Semua warga sipil terbunuh.	▢FF00FF00All civilians have been killed.▥	▢FF00FF00Tüm siviller öldürüldü.	▢FF00FF00Tất cả dân thường đã bị giết.	▢FF00FF00All civilians have been killed.▥
54	MurderMysteryGameData		▢FF00FF00平民： %1s ▢FFFFFFFF– ▢FF0000FF杀手： %2s ▢FFFFFFFF– ▢FFFF0000生命值： %3s	▢FF00FF00Civilian： %1s ▢FFFFFFFF– ▢FF0000FFMurderer： %2s ▢FFFFFFFF– ▢FFFF0000HP： %3s	▢FF00FF00Civis： %1s ▢FFFFFFFF– ▢FF0000FFAssassinos： %2s ▢FFFFFFFF– ▢FFFF0000HP： %3s	▢FF00FF00Граждан： %1s ▢FFFFFFFF– ▢FF0000FFУбийц： %2s ▢FFFFFFFF– ▢FFFF0000ЗД： %3s	▢FF00FF00평민： %1s ▢FFFFFFFF– ▢FF0000FF킬러： %2s ▢FFFFFFFF– ▢FFFF0000 생명치： %3s	▢FF00FF00Dorfbewohner:%1s ▢FFFFFFFF– ▢FF0000FFKiller: %2s ▢FFFFFFFF– ▢FFFF0000 Trefferpunkt:%3s	▢FF00FF00Civils: %1s▢FFFFFFFF– ▢FF0000FFTueurs:%2s▢FFFFFFFF– ▢FF0000FFVies: %3s	▢FF00FF00Civiles:%1s ▢FFFFFFFF– ▢FF0000FF Asesinos:%2s ▢FFFFFFFF– ▢FF0000FF Salud:%3s	▢FF00FF00Civili：%1s ▢FFFFFFFF– ▢FF0000FFKiller：%2s ▢FFFFFFFF– ▢FFFF0000Salute：%3s	▢FF00FF00Warga sipil：%1s ▢FFFFFFFF– ▢FF0000FFPembunuh：%2s ▢FFFFFFFF– ▢FFFF0000Nilai nyawa：%3s	▢FF00FF00Civilian： %1s ▢FFFFFFFF– ▢FF0000FFMurderer： %2s ▢FFFFFFFF– ▢FFFF0000HP： %3s	▢FF00FF00Siviller:%1s ▢FFFFFFFF– ▢FF0000FF Katil:%2s ▢FFFFFFFF– ▢FFFF0000 Sağlık:%3s	▢FF00FF00Dân thường: %1s – Sát thủ: %2s – Giá trị máu: %3s	▢FF00FF00Civilian： %1s ▢FFFFFFFF– ▢FF0000FFMurderer： %2s ▢FFFFFFFF– ▢FFFF0000HP： %3s
55	SnowballBattleGameName	雪球大作战	雪球大作战	Snowball Battle	Snowball Battle	Snowball Battle	Snowball Battle	Snowball Battle	Snowball Battle	Snowball Battle	Snowball Battle	Snowball Battle	Snowball Battle	Kartopu Savaşı	Snowball Battle	Snowball Battle
56	SnowballBattleGameData		%1s▢FFFFD700分数： %2s	%1s▢FFFFD700Score： %2s	%1s▢FFFFD700Pontos： %2s	%1s▢FFFFD700Счёт： %2s	%1s▢FFFFD700점수： %2s	%1s▢FFFFD700 Punkt:%2s	▢FFFF0000%1s▢FF00FF00 Score: %2s	Puntuación del ▢FFFFD700%1s: %2s	Punteggi ▢FFFFD700%1s:%2s	%1s▢FFFFD700 nilai: %2s	%1s▢FFFFD700Score： %2s	%1s▢FFFFD700 Puan:%2s	Điểm ▢FFFFD700%1s: %2s	%1s▢FFFFD700Score： %2s
57	SkyWarGameName	空岛战争	空岛战争	Sky war	Sky war	Sky war	Sky Wars	Sky Wars	Sky Wars	Sky Wars	Sky Wars	Sky Wars	Sky war	Sky Wars	Sky Wars	Sky war
58	TeamHungerGameName	饥饿游戏组队模式	饥饿游戏组队模式	Team	Hungry Game of Team	Hungry Game of Team	Team	Team	Team	Team	Team	Team	Team	Team	Team	Hungry Game of Team
59	TNTRunGameName	TNT跑酷	TNT跑酷	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run	TNT Run
60	TNTRunMsgPvpEnableAfter		▢FF00FF00地图还有%1s%2s▢FF00FF00开始崩塌	▢FF00FF00The map will collapse in %1s%2s▢FF00FF00.	▢FF00FF00O Mapa entrará em colapso em %1s %2s▢FF00FF00.	▢FF00FF00Карта начнёт разрушаться через %1s %2s▢FF00FF00.	▢FF00FF00지도는 %1s%2▢FF00FF00초 뒤에 붕괴합니다.	▢FF00FF00Die Karte wird nach %1s%2s▢FF00FF00 zerfallen. 	▢FF00FF00La carte  va commencer à s'effondrer dans ▢FF00FF00%1s%2s	▢FF00FF00El mapa tiene %1s%2s▢FF00FF00 comenzara a colapsar	▢FF00FF00La mappa ha iniziato a collassare ▢FFFFD700%1s%2s.	▢FF00FF00Peta dalam %1s%2s▢FF00FF00 mulai runtuh	▢FF00FF00The map will collapse in %1s %2s▢FF00FF00.	▢FF00FF00Harita %1s%2s▢FF00FF00 'de çökmeye başladı	▢FF00FF00Bản đồ còn %1s%2s▢FF00FF00 sẽ bị sụp đổ	▢FF00FF00The map will collapse in %1s %2s▢FF00FF00.
61	TNTRunMsgWinnerInfo		▢FFFFD700恭喜▢FFFFFFFF%1s▢FFFFD700！获得胜利！打破跑酷记录，成为最强跑者！	▢FFFFD700Congratulations! %1s is the winner, the king of runner who broke the record.	▢FFFFD700Parabéns! %1s Você é O Ganhador, O Rei Você Quebrou O Record !!.	▢FFFFD700Поздравляем! Игрок %1s победил в игре, побил рекорд и стал королём TNT Run 	▢FFFFFFFF%1s▢FFFFD700를 축하드립니다.성공했습니다. 프리러닝 기록을 깨고 최강 주자가 되었습니다.	▢FFFFD700Congratulations▢FFFFFFFF%1s!Gewinnen! Sie haben Parkour Rekord brechen und werden der stärkste Läufer!	▢FFFFD700Félicitations ▢FFFFFFFF%1s▢FFFFD700! Vous avez gagné! Vous avez battu le record de course, vous êtes devenu le coureur le plus fort!	▢FFFFD700Felicitaciones a ▢FFFFFFFF%1s▢FFFFD700! ¡Ha ganado! ¡Rompe el récord de Parkour y conviértete en el corredor más fuerte!	▢FFFFD700Congratulazioni ▢FFFFFFFF%1s▢FFFFD700! Ha Vinto! Rotto il record di Parkour e diventa il corridore più forte!	▢FFFFD700Selamat ▢FFFFFFFF%1s▢FFFFD700! Mendapatkan kemenangan! Break rekam dari Parkour, menjadi pelari terkuat!	▢FFFFD700Congratulations! %1s is the winner, the king of runner who broke the record.	▢FFFFD700Tebrikler ▢FFFFFFFF%1s▢FFFFD700! Kazanın! Parkur 'un kaydını kesin ve en güçlü koşucu olun!	▢FFFFD700Chúc mừng ▢FFFFFFFF%1s▢FFFFD700! Bạn đã chiến thắng! Đánh bại kỷ lục Parkour, trở thành người chạy nhanh nhất!	▢FFFFD700Congratulations! %1s is the winner, the king of runner who broke the record.
